car_ID,CarName,fueltype,doornumber,carbody,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,two,convertible,front,88.6,168.8,64.1,48.8,2548,four,130,111,5000,21,27,13495.0
2,alfa-romero stelvio,gas,two,convertible,front,88.6,168.8,64.1,48.8,2548,four,130,111,5000,21,27,16500.0
3,alfa-romero Quadrifoglio,gas,two,hatchback,front,94.5,171.2,65.5,52.4,2823,six,152,154,5000,19,26,16500.0
4,audi 100 ls,gas,four,sedan,front,99.8,176.6,66.2,54.3,2337,four,109,102,5500,24,30,13950.0
5,audi 100ls,gas,four,sedan,front,99.4,176.6,66.4,54.3,2824,five,136,115,5500,18,22,17450.0
6,audi fox,gas,two,sedan,front,99.8,177.3,66.3,53.1,2507,five,136,110,5500,19,25,15250.0
7,audi 100ls,gas,four,sedan,front,105.8,192.7,71.4,55.7,2844,five,136,110,5500,19,25,17710.0
8,audi 5000,gas,four,wagon,front,105.8,192.7,71.4,55.7,2954,five,136,110,5500,19,25,18920.0
9,audi 4000,gas,four,sedan,front,105.8,192.7,71.4,55.9,3086,five,131,140,5500,17,20,23875.0
10,audi 5000s (diesel),gas,two,hatchback,front,99.5,178.2,67.9,52.0,3053,five,131,160,5500,16,22,17859.167
11,bmw 320i,gas,two,sedan,front,101.2,176.8,64.8,54.3,2395,four,108,101,5800,23,29,16430.0
12,bmw 320i,gas,four,sedan,front,101.2,176.8,64.8,54.3,2395,four,108,101,5800,23,29,16925.0
13,bmw x1,gas,two,sedan,front,101.2,176.8,64.8,54.3,2710,six,164,121,4250,21,28,20970.0
14,bmw x3,gas,four,sedan,front,101.2,176.8,64.8,54.3,2765,six,164,121,4250,21,28,21105.0
15,bmw z4,gas,four,sedan,front,103.5,189.0,66.9,55.7,3055,six,164,121,4250,20,25,24565.0
16,bmw x4,gas,four,sedan,front,103.5,189.0,66.9,55.7,3230,six,209,182,5400,16,22,30760.0
17,bmw x5,gas,two,sedan,front,103.5,193.8,67.9,53.7,3380,six,209,182,5400,16,22,41315.0
18,bmw x3,gas,four,sedan,front,110.0,197.0,70.9,56.3,3505,six,209,182,5400,15,20,36880.0
19,chevrolet impala,gas,two,hatchback,front,88.4,141.1,60.3,53.2,1488,three,61,48,5100,47,53,5151.0
20,chevrolet monte carlo,gas,two,hatchback,front,94.5,155.9,63.6,52.0,1874,four,90,70,5400,38,43,6295.0
21,chevrolet vega 2300,gas,four,sedan,front,94.5,158.8,63.6,52.0,1909,four,90,70,5400,38,43,6575.0
22,dodge rampage,gas,two,hatchback,front,93.7,157.3,63.8,50.8,1876,four,90,68,5500,37,41,5572.0
23,dodge challenger se,gas,two,hatchback,front,93.7,157.3,63.8,50.8,1876,four,90,68,5500,31,38,6377.0
24,dodge d200,gas,two,hatchback,front,93.7,157.3,63.8,50.8,2128,four,98,102,5500,24,30,7957.0
25,dodge monaco (sw),gas,four,hatchback,front,93.7,157.3,63.8,50.6,1967,four,90,68,5500,31,38,6229.0
26,dodge colt hardtop,gas,four,sedan,front,93.7,157.3,63.8,50.6,1989,four,90,68,5500,31,38,6692.0
27,dodge colt (sw),gas,four,sedan,front,93.7,157.3,63.8,50.6,1989,four,90,68,5500,31,38,7609.0
28,dodge coronet custom,gas,two,sedan,front,93.7,157.3,63.8,50.6,2191,four,98,102,5500,24,30,8558.0
29,dodge dart custom,gas,four,wagon,front,103.3,174.6,64.6,59.8,2535,four,122,88,5000,24,30,8921.0
30,dodge coronet custom (sw),gas,two,hatchback,front,95.9,173.2,66.3,50.2,2811,four,156,145,5000,19,24,12964.0
31,honda civic,gas,two,hatchback,front,86.6,144.6,63.9,50.8,1713,four,92,58,4800,49,54,6479.0
32,honda civic cvcc,gas,two,hatchback,front,86.6,144.6,63.9,50.8,1819,four,92,76,6000,31,38,6855.0
33,honda civic,gas,two,hatchback,front,93.7,150.0,64.0,52.6,1837,four,79,60,5500,38,42,5399.0
34,honda accord cvcc,gas,two,hatchback,front,93.7,150.0,64.0,52.6,1940,four,92,76,6000,30,34,6529.0
35,honda civic cvcc,gas,two,hatchback,front,93.7,150.0,64.0,52.6,1956,four,92,76,6000,30,34,7129.0
36,honda accord lx,gas,four,sedan,front,96.5,163.4,64.0,54.5,2010,four,92,76,6000,30,34,7295.0
37,honda civic 1500 gl,gas,four,wagon,front,96.5,157.1,63.9,58.3,2024,four,92,76,6000,30,34,7295.0
38,honda accord,gas,two,hatchback,front,96.5,167.5,65.2,53.3,2236,four,110,86,5800,27,33,7895.0
39,honda civic 1300,gas,two,hatchback,front,96.5,167.5,65.2,53.3,2289,four,110,86,5800,27,33,9095.0
40,honda prelude,gas,four,sedan,front,96.5,175.4,65.2,54.1,2304,four,110,86,5800,27,33,8845.0
41,honda accord,gas,four,sedan,front,96.5,175.4,62.5,54.1,2372,four,110,86,5800,27,33,10295.0
42,honda civic,gas,four,sedan,front,96.5,175.4,65.2,54.1,2465,four,110,101,5800,24,28,12945.0
43,honda civic (auto),gas,two,sedan,front,96.5,169.1,66.0,51.0,2293,four,110,100,5500,25,31,10345.0
44,isuzu MU-X,gas,four,sedan,front,94.3,170.7,61.8,53.5,2337,four,111,78,4800,24,29,6785.0
45,isuzu D-Max ,gas,two,sedan,front,94.5,155.9,63.6,52.0,1874,four,90,70,5400,38,43,8916.5
46,isuzu D-Max V-Cross,gas,four,sedan,front,94.5,155.9,63.6,52.0,1909,four,90,70,5400,38,43,8916.5
47,isuzu D-Max ,gas,two,hatchback,front,96.0,172.6,65.2,51.4,2734,four,119,90,5000,24,29,11048.0
48,jaguar xj,gas,four,sedan,front,113.0,199.6,69.6,52.8,4066,six,258,176,4750,15,19,32250.0
49,jaguar xf,gas,four,sedan,front,113.0,199.6,69.6,52.8,4066,six,258,176,4750,15,19,35550.0
50,jaguar xk,gas,two,sedan,front,102.0,191.7,70.6,47.8,3950,twelve,326,262,5000,13,17,36000.0
51,maxda rx3,gas,two,hatchback,front,93.1,159.1,64.2,54.1,1890,four,91,68,5000,30,31,5195.0
52,maxda glc deluxe,gas,two,hatchback,front,93.1,159.1,64.2,54.1,1900,four,91,68,5000,31,38,6095.0
53,mazda rx2 coupe,gas,two,hatchback,front,93.1,159.1,64.2,54.1,1905,four,91,68,5000,31,38,6795.0
54,mazda rx-4,gas,four,sedan,front,93.1,166.8,64.2,54.1,1945,four,91,68,5000,31,38,6695.0
55,mazda glc deluxe,gas,four,sedan,front,93.1,166.8,64.2,54.1,1950,four,91,68,5000,31,38,7395.0
56,mazda 626,gas,two,hatchback,front,95.3,169.0,65.7,49.6,2380,two,70,101,6000,17,23,10945.0
